%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1985 2 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.10000 84.00 1.10 97.13 0.00 0.00 -999.00 290.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 2 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.80000 85.00 1.30 97.14 0.00 0.00 -999.00 291.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 100.00
1985 2 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.20000 82.00 1.80 97.14 0.00 22.00 -999.00 285.00 -999.00 -999.00 -999.00 -999.00 22.00 0.00 100.00
1985 2 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.20000 80.00 2.60 97.11 0.00 70.00 -999.00 278.00 -999.00 -999.00 -999.00 -999.00 70.00 0.00 110.00
1985 2 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.10000 77.00 3.40 97.08 0.00 209.00 -999.00 287.00 -999.00 -999.00 -999.00 -999.00 115.00 341.00 90.00
1985 2 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 78.00 3.50 97.04 0.00 186.00 -999.00 283.00 -999.00 -999.00 -999.00 -999.00 136.00 183.00 120.00
1985 2 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.80000 77.00 3.70 97.04 0.00 172.00 -999.00 288.00 -999.00 -999.00 -999.00 -999.00 89.00 344.00 100.00
1985 2 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 81.00 3.20 97.04 0.00 97.00 -999.00 286.00 -999.00 -999.00 -999.00 -999.00 74.00 137.00 90.00
1985 2 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 10.30000 82.00 3.10 97.04 0.00 45.00 -999.00 281.00 -999.00 -999.00 -999.00 -999.00 34.00 173.00 110.00
1985 2 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.10000 84.00 2.40 97.04 0.00 0.00 -999.00 283.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 100.00
1985 2 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 85.00 2.10 97.06 0.00 0.00 -999.00 287.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 2 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 85.00 2.10 97.08 0.00 0.00 -999.00 267.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 70.00
1985 2 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.10000 88.00 1.40 97.09 0.00 0.00 -999.00 262.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 2 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 85.00 1.90 97.09 0.00 0.00 -999.00 264.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 100.00
1985 2 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.80000 92.00 1.40 97.15 0.00 0.00 -999.00 262.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 100.00
